,"Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-08-17_SAC253053 Day 0.fcs,90.3,1.84,13.3,0.075,11.3,0.32,0.27,0.087,3.65,16.5,0.100,1.74,100,0.012,0.075,0.037,0.17,3.78,
2022-08-17_Tasso ID 2 Tasso Ack Lysed WB Day 0.fcs,99.5,2.35,27.2,5.10,20.8,0.14,0.043,0.12,3.59,33.8,0.41,0.83,100.0,0.029,0.029,0.11,0.37,7.58,
2022-08-17_Tasso ID 2 Vein Ack Lysed WB Day 0.fcs,99.2,1.40,24.7,0.14,16.8,0.24,0.11,0.32,2.33,40.5,0.11,2.46,99.9,0.045,0.060,0.12,0.29,4.33,
2022-08-17_Tasso ID 2 Vein PBMC Day 0.fcs,98.8,2.21,25.4,2.93,23.2,0.36,0.035,0.19,8.08,18.7,1.14,0.22,99.9,0.035,0.24,0.14,0.60,7.32,
2022-08-19_SAC253053 Day 2.fcs,91.4,1.24,13.6,0.11,12.0,0.42,0.31,0.20,10.3,14.5,0.28,0.97,100.0,8.18E-3,0.090,0.11,0.11,3.64,
2022-08-19_Tasso ID 2 Tasso Ack Lysed WB Day 2.fcs,88.6,1.48,24.5,1.17,27.5,1.76,0.15,0.13,13.3,23.6,0.28,0.016,99.9,0.15,0.20,0.20,0.20,4.75,
