,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen Sirpa+ | Freq. of Parent (%)",
2024-11-14_SAC253053.fcs,28.5,0,88.9,0,0,67.6,0,0.40,0,0,0,0,0.79,0.79,0,0,0,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,0,0,100,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 05 Tasso WB.fcs,9.09,0,95.5,0,0,68.2,0,4.55,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,24.5,0,86.3,0,0.72,58.3,0,0.72,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 05 Vein WB.fcs,9.09,0,100,0,0,45.5,0,0,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,15.6,0,100,0,0,21.9,0,0,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 07 Tasso WB.fcs,22.6,0,87.1,0,0.81,86.3,0,3.23,0,0,0,0,0.81,0.81,0,0,0,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,35.1,0,83.9,0,0,81.0,0,2.62,0,0,0,0,0.33,1.31,0,0.33,0,
2024-11-14_Tasso ID 07 Vein WB.fcs,16.8,0,90.9,0,0.70,79.0,0,2.10,0,0,0,0,0.70,1.40,0,0,0,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,10.9,0,100,0,0,59.4,0,3.12,0,0,0,0,1.56,1.56,0,0,0,
2024-11-14_Tasso ID 12 Tasso WB.fcs,27.3,0,81.8,0,0,77.3,0,0,0,0,0,0,4.55,9.09,0,0,0,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,34.8,0,82.0,0,0,61.9,0,0.41,0,0,0,0,0,0.41,0,0,0,
2024-11-14_Tasso ID 12 Vein WB.fcs,28.0,0,93.9,0,0,70.7,0,1.22,0,0,0,0,0,1.22,0,0,0,
2024-11-14_Tasso ID 17 Tasso WB SH.fcs,20.0,0,100,0,0,60.0,0,10.0,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 17 Tasso WB.fcs,20.0,0,100,0,0,40.0,0,20.0,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 17 Vein PBMC.fcs,19.0,0,81.4,0,0.72,61.7,0,0.96,0,0,0,0,1.45,0.48,0,0.24,0,
2024-11-14_Tasso ID 17 Vein WB.fcs,11.1,0,88.9,0,0,58.3,0,0,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 18 Tasso WB SH.fcs,25.0,0,100,0,0,92.9,0,10.7,0,0,0,0,1.79,1.79,0,0,0,
2024-11-14_Tasso ID 18 Tasso WB.fcs,48.5,0,89.9,0,0,78.8,0,1.01,0,0,0,0,4.04,3.03,0,0,0,
2024-11-14_Tasso ID 18 Vein PBMC.fcs,56.7,0.22,94.7,0,0.11,82.5,0,1.35,0,0,0,0.45,0.67,1.80,0,0.34,0,
2024-11-14_Tasso ID 18 Vein WB.fcs,30.1,0,97.5,0,0,86.5,0,1.84,0,0,0,0,1.23,1.84,0,0,0,
2024-11-14_Tasso ID 19 Tasso WB SH.fcs,4.55,0,100,0,0,86.4,0,4.55,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 19 Tasso WB.fcs,12.8,0,94.9,0,0,79.5,0,0,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 19 Vein PBMC.fcs,46.0,0,97.1,0,0.72,79.0,0,0,0,0,0,0,0.72,0,0,0.36,0,
2024-11-14_Tasso ID 19 Vein WB.fcs,9.78,0,95.7,0,1.09,80.4,0,1.09,0,0,0,1.09,4.35,0,0,1.09,0,
2024-11-14_Tasso ID 20 Tasso WB SH.fcs,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,50.0,0,
2024-11-14_Tasso ID 20 Tasso WB.fcs,36.4,0,100,0,0,72.7,0,9.09,0,0,0,0,0,0,0,0,0,
2024-11-14_Tasso ID 20 Vein PBMC.fcs,34.0,0,90.5,0,0,63.0,0,0.50,0,0,0,0,0,2.00,0,0,0,
2024-11-14_Tasso ID 20 Vein WB.fcs,33.3,0,100,0,0,83.3,0,0,0,0,0,0,3.33,0,0,0,0,
2024-11-14_Tasso ID 21 Tasso WB SH.fcs,27.7,0,98.8,0,0,72.3,0,1.20,0,0,0,0,2.41,0,0,0,0,
