,Time/Cells/Single Cells/Live | Freq. of Single Cells (%),Time/Cells/Single Cells/Live/CD45+ | Freq. of Live (%),"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)*** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim) | Freq. of NOT CD16-, CD56- (Total NK cells)*** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright) | Freq. of NOT CD16-, CD56- (Total NK cells)*** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)*** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/CD45low, CD16+ (Neutrophils) *** | Freq. of CD45+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141- CD1c+ (cDC2s) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141+, CD1c- (cDC1s) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141-, CD1c- (DN cDCs) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+ | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes) | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes) | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes) | Freq. of NOT CD45low, CD16+ (%)",
2022-10-27_SAC253053.fcs,98.5,47.4,65.9,4.18,78.9,4.90,7.62,4.56,0.61,0.26,0.80,76.8,4.58,18.5,18.4,16.2,0.70,1.50,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,95.1,98.8,72.9,4.69,71.8,3.37,7.48,0.45,1.24,0.56,0.31,60.6,3.03,36.4,12.1,10.9,0.98,0.23,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,93.8,96.4,68.2,4.69,64.0,6.26,12.5,4.32,0.64,0.37,0.30,34.5,0,65.5,11.9,10.2,1.21,0.50,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,88.8,98.0,62.9,13.8,79.9,1.84,7.11,3.57,0.96,0.38,0.29,72.5,2.90,24.6,13.7,12.2,1.07,0.41,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,66.6,99.1,55.8,5.64,59.5,9.75,4.43,29.3,1.48,0.30,0.33,46.4,0,53.6,30.6,24.5,5.82,0.25,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,91.9,97.5,71.4,2.42,69.3,8.72,18.4,1.86,0.95,0.15,0.15,30.0,0,70.0,5.87,4.87,0.85,0.14,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,92.0,99.1,68.9,5.55,76.8,8.11,10.9,2.55,1.20,0.29,0.17,55.7,3.28,41.0,10.8,9.17,1.40,0.28,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,91.6,95.9,69.0,3.28,67.0,9.01,6.85,1.73,1.87,0.24,0.24,35.3,0,64.7,17.7,14.7,2.73,0.25,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,92.4,91.3,70.8,6.46,72.6,4.77,7.35,10.5,1.28,0.081,0.065,50.0,0,50.0,12.9,10.8,1.79,0.34,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,86.1,97.7,70.5,5.57,45.6,3.09,14.4,1.64,0.54,0.043,0.12,4.35,4.35,91.3,6.40,5.76,0.49,0.15,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,54.5,96.9,92.7,1.07,15.2,12.3,3.52,1.76,0.70,0.020,0.066,30.8,0,69.2,0.32,0.20,0.071,0.046,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,78.7,98.9,58.4,16.0,71.8,1.78,18.1,7.79,0.65,0.14,0.24,44.7,0,55.3,5.24,3.90,0.95,0.39,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,75.3,99.2,71.2,5.41,46.5,13.8,7.39,12.3,0.81,0.21,0.59,29.2,0,70.8,12.8,9.08,3.23,0.45,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,87.3,99.1,72.7,0.83,34.8,18.8,21.9,0.35,0.61,0.13,0.14,40.4,1.75,57.9,2.71,2.13,0.41,0.17,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,82.2,99.4,71.0,6.20,66.5,7.31,12.8,3.87,1.63,0.30,0.23,58.1,3.59,38.3,5.10,3.42,1.47,0.21,
