,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,0.26,93.3,5.19,0.41,9.12,40.5,71.6,8.94,15.8,0.28,0.74,0.45,1.13,3.22,0.64,0.092,0.010,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,0,91.3,5.97,1.12,1.62,75.0,92.4,3.36,13.9,12.1,2.36,0.37,3.11,1.62,0.37,0.37,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,0.19,66.1,2.58,0.49,1.50,73.7,91.6,2.02,9.28,16.9,0.22,0.37,1.46,3.37,0.26,0.30,0,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,0.17,92.5,11.6,0.11,5.28,78.3,94.5,3.24,23.8,1.24,3.29,0.90,1.11,2.30,0.37,0.30,0,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,0.12,44.6,2.90,0.28,2.57,74.8,92.9,2.94,9.21,2.15,1.48,0.33,1.04,3.68,0.14,0.14,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,0.17,92.0,2.94,0.42,8.14,65.9,84.8,2.94,14.6,7.13,1.76,0.25,2.52,1.68,0.084,0.084,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,0.14,59.0,10.8,0.29,7.65,47.0,77.6,4.76,43.0,1.73,0.14,0.14,1.30,1.44,0.14,0.14,0,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,0.17,94.3,12.9,0.24,13.9,63.4,93.4,3.69,36.1,1.35,2.27,1.04,0.92,2.05,0.49,0.15,0.016,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,0.12,83.0,2.75,0.45,7.73,61.5,91.0,2.54,14.5,2.12,1.43,0.40,1.62,2.30,0.21,0.052,0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,0.12,84.0,3.22,0.99,1.70,64.0,90.2,0.99,8.48,7.89,1.70,0.35,1.35,1.99,0.12,0.18,0.058,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,0.085,57.6,1.37,0.73,2.58,54.5,81.9,0.65,4.95,5.55,0.31,0.24,0.56,1.57,0.14,0.034,0,
