,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,0.024,0,48.2,100,1.13,92.1,0,2.03,0,0.31,1.25,0,0.24,67.7,0,0,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,0,0.28,71.8,100,0,88.7,0.83,0.28,0,21.0,0,0,0.55,45.6,0,0,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,0,0,58.4,100,0.70,82.5,0,0,0,16.1,0,0,2.45,26.2,0,0,0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,0,0,67.2,100,0,77.4,0.15,0.038,0,10.8,0,0,1.02,39.4,0,0.076,0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,0,0,70.1,100,0.36,96.1,0,0.36,0,29.5,0,0.36,3.91,49.8,0,0,0.36,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,0,0,44.9,100,0.43,90.0,0.22,0.22,0,30.6,0,0,1.08,36.7,0,0,0.43,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,0,0,66.3,100,0.26,88.4,0.065,0.32,0,10.6,0.13,0,0.39,53.2,0,0.065,0.065,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,0,0,65.4,100,0,100,0,0,0,59.6,0,0,1.28,68.6,0,0,0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,0,0,33.2,100,0,70.2,0.35,0,0,45.3,0,0,0.69,38.8,0,0,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,87.5,100,0,89.2,0,0.21,0,11.2,0,0,0.64,55.1,0,0.42,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,100,100,0,62.5,0,0,0,9.38,0,0,3.12,12.5,0,0,0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,66.3,100,0.30,83.7,0,0.16,0,10.9,0.027,0,0.38,33.6,0,0,0.027,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,85.0,100,3.91,93.8,0.33,1.63,0,15.0,0,0.33,1.95,45.9,0,0.65,2.93,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,86.9,100,9.02,86.9,0,0,0,20.5,2.46,0,1.64,42.6,0,2.46,7.38,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0.034,92.3,100,0.85,87.7,0,0.24,0,2.22,0.14,0,0.72,41.4,0,0.034,0.48,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,76.7,100,0,100,0,0,0,46.7,0,0,0,36.7,0,0,0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0.58,83.1,100,0,61.6,0.58,0,0,54.7,0,0,1.16,18.6,0,0,0,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,0,0.032,55.1,100,0.30,89.4,0.011,0.38,0,0.36,0.032,0.021,0.25,79.4,0,0.032,0,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,0.018,9.16E-3,49.9,100,0.24,79.4,0.018,0.38,0,0.65,9.16E-3,0,0.19,66.2,0,0.073,0,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,0.017,0,50.9,100,0.26,72.9,0,0.44,0,1.33,0.025,0,0.093,63.0,8.44E-3,0,0,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,0.021,0,61.2,100,0.28,97.2,0,0.56,0,7.81,0.086,0,0.47,71.5,0,0.021,0,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,0,0,58.5,100,0.25,90.2,0,0.12,0,1.12,0.018,0.018,0.33,72.0,0,0.070,0,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,0.020,0.013,47.4,100,0.94,85.8,0,0.82,0,1.14,0.052,0,0.45,73.3,0,0.020,0.039,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,0.051,0,60.2,100,0.23,98.3,0,0.31,0,6.99,0.026,0.026,0.28,88.4,0.026,0.026,0.026,
