,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,0,1.14,89.4,0.63,74.7,97.3,0,31.3,0,1.65,0.51,0,1.01,0.76,0.13,0.25,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,0,0,97.7,6.02,15.0,100,0,72.9,0,21.8,1.50,0,1.50,1.50,0,0,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,91.1,4.95,48.5,100,0.99,48.5,0,29.7,0,0,0,1.98,0,0,0,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,0.16,0,97.2,1.11,61.0,99.9,0.24,66.6,0,1.34,1.50,0,1.18,1.26,0,0.079,0,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,0,0,97.5,0.93,32.2,99.8,0,62.3,0,2.08,1.39,0,2.08,0,0,0,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,0,0,95.1,3.28,95.1,98.4,0,60.7,0,9.84,1.64,0,0,1.64,0,0,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,97.8,3.62,95.7,100,1.45,58.0,0,12.3,0.72,0,0.72,0,0,0,0,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,0,0,97.9,1.16,94.1,99.9,0.49,68.0,0,2.89,1.42,0.044,1.82,1.07,0.84,0.18,0,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,0,0,96.9,1.99,93.1,100,0.22,52.7,0,2.21,0.44,0,0.88,0,0.22,0.22,0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,0,0,96.6,4.31,82.8,99.6,0,64.2,0,26.7,0.86,0,0.86,0.43,0,0.43,0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,94.3,17.6,86.2,100,0.48,56.7,0,23.8,0.48,0,0.95,3.33,0,0,0,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,0.14,0,97.8,1.23,96.2,100,0.55,55.8,0,5.87,0.95,0,1.09,1.50,0.14,0.27,0,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,0,0,100,15.8,95.0,100,0,64.2,0,22.5,0,0,2.50,0,0.83,0,0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,0,0,96.0,1.61,87.1,100,0,85.5,0,4.03,1.61,0,5.65,0,0,0,0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,1.01,0,90.9,6.06,87.9,100,1.01,73.7,0,6.06,0,0,3.03,3.03,0,1.01,0,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,0,0.15,95.5,2.56,88.1,99.8,0.45,84.5,0,1.20,1.50,0,1.20,2.26,0,0.15,0,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,0.048,0.097,97.0,1.30,88.8,100.0,0,73.0,0,0.43,0.82,0.048,0.77,1.06,0,0.097,0,
