,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,8.27E-3,21.6,0.44,5.65,0.097,18.3,2.36E-3,0.67,5.38,0.034,0.15,0.021,0.21,0.93,5.91E-3,0.044,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,0.026,11.9,8.78,6.51,0,32.4,0.79,0.69,11.2,7.38,0.49,0.026,1.00,2.96,0.013,0.18,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,0.015,5.14,18.8,2.67,0.099,29.6,0.31,0.44,8.95,4.81,0.26,0.030,1.09,2.31,0,0.20,0,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,0.019,29.2,7.09,7.06,0.22,32.1,8.08E-3,0.44,12.0,0.055,0.45,0.021,0.21,8.51,1.52E-3,0.081,0.012,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,4.68E-3,0.12,2.86,3.29,0.12,36.1,0.016,0.41,7.31,0.19,0.32,7.02E-3,0.91,2.82,2.34E-3,0.056,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,0,7.72,2.21,3.89,0.061,16.8,0.14,0.54,6.78,4.78,0.14,0.031,0.94,2.75,0,0.17,0.015,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,0.011,2.36,2.56,4.59,0.099,9.29,0.022,0.66,2.28,2.08,0.016,0.011,0.48,0.16,0.011,0.038,5.48E-3,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,0.022,23.8,3.37,10.8,0.31,14.6,8.86E-3,0.37,11.4,0.21,0.39,0.024,0.25,8.16,8.86E-3,0.11,0.012,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,6.76E-3,2.44,2.28,7.10,0.25,16.0,0.017,0.51,6.43,0.52,0.21,0.020,0.66,3.06,6.76E-3,0.098,0.010,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,0,1.99,2.63,0.71,0.033,38.2,0.32,0.12,4.36,2.51,0.19,6.61E-3,0.48,0.50,6.61E-3,0.040,6.61E-3,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0.45,2.19,0.74,0.037,38.2,0.069,0.16,4.63,1.60,0.12,0,0.58,0.090,0,0.011,0,
