,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,7.94,17.9,94.9,98.9,11.5,0.076,0.15,73.2,0.038,8.81,0.30,1.21,1.40,9.34,0.038,0.038,1.06,5.52,
2024-11-13_Tasso ID 07 Tasso WB.fcs,2.65,6.98,76.3,99.6,8.07,0.16,0.11,82.1,0.080,19.0,0.24,0.053,1.51,13.4,0,0.11,1.86,3.48,
2024-11-13_Tasso ID 12 Tasso WB.fcs,13.9,16.8,91.2,99.9,8.30,0.15,0.075,73.8,0,19.7,0.15,0.075,1.57,12.6,0.22,0.22,4.26,3.96,
2024-11-13_Tasso ID 17 Tasso WB.fcs,43.9,8.30,97.2,100,9.59,0.18,0,72.0,0,4.61,0.55,0.18,1.48,9.96,0,0,2.77,6.09,
2024-11-13_Tasso ID 18 Tasso WB.fcs,29.2,16.7,94.4,99.1,10.8,0.30,0.44,77.8,0.049,15.5,0.049,0.74,1.23,22.9,0.098,0.20,3.59,4.68,
2024-11-13_Tasso ID 19 Tasso WB.fcs,4.23,3.72,86.7,99.8,6.91,0.10,0.10,63.7,0.10,8.98,0.21,0.10,1.34,16.2,0,0.31,2.68,4.64,
2024-11-13_Tasso ID 20 Tasso WB.fcs,19.6,12.8,97.1,100,15.9,0.070,0,68.9,0.14,10.8,0.14,0.070,1.41,16.1,0.14,0.070,4.50,4.93,
2024-11-13_Tasso ID 21 Tasso WB.fcs,4.93,7.23,91.3,99.6,18.8,0,0.081,58.6,0.081,5.82,0.24,0.20,3.11,23.0,0.44,0.16,4.40,4.28,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,31.0,29.3,95.4,99.5,9.16,0.55,0.18,76.6,0,13.9,0,0.18,1.65,14.5,0,0.92,2.38,7.51,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,7.70,11.2,90.2,99.9,6.94,4.13,0.20,71.0,0,20.9,0.076,0,1.24,12.2,0.025,0.13,1.06,5.65,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,26.7,24.1,95.3,99.8,5.31,0.17,0.52,72.1,0,21.8,0.17,0.025,1.23,10.9,0.025,0.62,4.04,3.05,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,41.6,10.7,95.8,99.7,10.2,0.51,0,68.3,0,9.85,0,0,3.06,12.1,0,0,3.23,6.45,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,23.6,11.1,97.3,99.5,8.95,2.46,0.098,71.9,0,17.0,0.20,0.20,0.98,13.8,0.20,0.39,3.54,4.13,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,8.05,3.86,96.6,99.4,6.16,5.17,0.082,58.8,0,11.7,0.082,0.082,0.49,7.80,0,0.16,1.56,7.31,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,18.3,16.5,96.7,100,16.5,1.34,0,65.8,0,12.7,0.45,0,1.79,15.4,0.22,0,4.02,6.25,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,16.7,12.9,97.1,99.9,16.4,0.12,0.12,47.7,0,7.34,0.060,0,2.71,25.6,0.12,0.48,3.67,4.76,
2024-11-13_SAC253053.fcs,52.6,28.7,95.6,100.0,11.7,0.30,0.22,75.5,6.00E-3,13.3,0,0,2.30,16.6,0.024,0.084,4.03,4.75,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,48.3,37.4,97.0,100.0,11.9,0.23,0.34,87.1,0.023,11.8,0.015,0.045,1.82,19.7,0.038,0.20,1.95,5.56,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,61.0,28.2,94.1,100,13.7,0.35,0.19,88.7,9.23E-3,26.3,9.23E-3,9.23E-3,2.47,27.3,0.046,0.28,3.56,4.79,
2024-11-13_Tasso ID 12 Vein PBMC.fcs,64.2,40.4,96.1,100,8.82,0.24,0.50,88.7,0,25.0,0.017,0.017,1.91,24.5,0.086,0.71,6.63,3.74,
2024-11-13_Tasso ID 17 Vein PBMC.fcs,61.3,16.3,96.9,100.0,10.9,0.14,0.044,83.7,0,8.62,8.77E-3,0.035,3.27,19.5,0.026,0.11,3.85,5.57,
2024-11-13_Tasso ID 18 Vein PBMC.fcs,50.6,29.3,95.0,100.0,12.4,0.14,0.53,86.9,0,17.2,0.038,0.064,1.92,36.1,0.038,0.37,5.34,4.54,
2024-11-13_Tasso ID 19 Vein PBMC.fcs,51.9,19.3,96.6,99.9,8.36,0.38,0.10,81.6,0.031,14.9,0.084,0.063,2.03,31.7,0.084,0.55,5.97,6.36,
2024-11-13_Tasso ID 20 Vein PBMC.fcs,37.3,24.3,96.2,100,17.0,0.18,0.10,82.8,0.056,13.7,0,9.29E-3,2.49,27.5,0.065,0.11,5.59,7.03,
2024-11-13_Tasso ID 21 Vein PBMC.fcs,50.6,22.3,97.6,100,23.9,0.35,0.12,72.4,0.029,9.57,0,0.058,6.30,45.8,0.23,0.26,9.28,4.31,
2024-11-13_Tasso ID 05 Vein WB.fcs,7.85,18.8,96.5,99.3,11.7,0.029,0.15,72.3,0,9.37,0.088,0.32,1.61,9.81,0,0,1.11,5.21,
