,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,65.2,12.9,88.8,95.4,6.77,0.56,0.55,69.4,0.072,12.0,0.018,0.38,2.95,10.4,0.093,0.045,5.92,5.04,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,69.6,6.04,94.2,97.9,21.1,0,0.78,48.7,0.39,9.94,0,1.17,6.24,11.7,4.87,0.19,6.04,14.6,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,62.6,11.1,76.8,97.8,6.74,0.19,0.75,68.9,0.66,11.8,0,5.06,7.49,18.3,0.66,0.37,7.77,21.7,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,55.2,5.47,82.5,98.6,15.2,0.20,0.40,58.4,0.51,11.9,0.10,0.20,3.24,11.6,1.01,0.10,4.66,18.7,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,13.6,2.39,70.2,89.0,10.2,0,0.87,58.1,0,15.1,0.11,0.22,1.74,7.38,0.11,0.22,3.58,10.7,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,61.3,9.54,66.9,94.8,7.21,0.11,0.89,44.7,1.00,10.1,0.11,10.4,24.5,20.4,2.22,0.89,14.0,13.7,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,58.4,5.61,87.7,98.7,12.1,0.21,0.57,57.1,0.43,11.2,0.21,0.14,1.77,8.59,0.50,0.14,4.61,20.5,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,68.0,5.14,91.1,98.8,11.0,0.76,0.30,66.0,0.30,15.4,0.15,3.17,3.93,23.1,1.81,0.15,7.40,15.7,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,46.5,7.06,79.1,97.6,6.09,0,0.69,55.0,0.28,12.9,0,0.55,4.71,9.00,0.97,0,4.02,24.4,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,57.4,7.29,90.7,97.5,13.2,0.28,1.49,56.1,0.071,11.5,0,0.42,3.26,15.8,0.57,0.21,4.18,9.41,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,36.7,8.65,85.8,96.9,1.36,18.1,1.08,66.9,0.44,10.8,0,2.49,2.54,8.83,0.10,0.41,3.08,20.3,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,51.4,4.45,77.8,98.6,20.9,0.087,0.35,44.9,0.17,9.61,0,0.26,2.71,10.1,0.79,0.17,4.54,18.2,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,23.1,4.21,80.2,98.4,7.49,0.94,0.16,57.9,0.31,27.0,0,0.31,1.72,6.24,2.03,0.31,4.06,18.4,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,65.4,11.2,65.2,96.1,5.61,1.54,1.48,46.0,1.23,7.89,0.12,5.18,20.6,15.2,0.92,0.92,11.0,13.3,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,53.7,5.29,88.3,98.0,9.73,0.88,0.81,47.5,0.21,13.7,0,0.31,2.06,7.76,0.62,0.12,4.81,16.3,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,59.6,3.67,89.6,98.2,10.4,0.79,0.26,49.7,0.20,15.6,0.066,1.44,3.28,16.5,0.52,0.26,2.43,15.2,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,75.2,13.6,82.1,99.5,3.73,1.87,1.07,68.8,1.33,17.1,0.27,1.07,3.73,13.1,0.53,0,6.40,42.1,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,74.8,9.23,93.4,98.1,19.8,0.13,0.98,68.3,0.20,10.4,0.032,0.52,4.08,18.5,1.05,0.093,5.63,7.38,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,67.4,22.6,82.7,95.7,4.91,0.23,1.40,84.9,0.30,17.2,0.017,5.10,8.13,23.0,0.38,0.90,9.60,13.2,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,77.0,10.9,86.0,99.5,17.3,0.17,0.98,74.0,0.23,14.3,0.036,0.23,3.03,19.8,0.48,0.095,6.44,11.1,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,63.3,18.1,84.1,99.6,9.91,0.42,0.84,80.6,0.14,24.0,0.054,0.28,1.90,19.7,0.88,0.48,7.83,14.8,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,80.2,14.7,63.5,91.9,6.57,0.55,1.38,60.5,0.99,14.5,0.12,15.5,25.4,26.0,0.74,1.11,19.4,8.76,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,77.0,12.0,88.9,99.6,12.5,0.25,1.25,78.7,0.13,15.8,8.41E-3,0.65,2.77,16.0,0.55,0.046,9.11,9.79,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,73.7,6.31,90.7,98.3,13.4,0.51,0.24,74.3,0.21,17.1,0.026,3.61,5.62,30.3,1.26,0.24,6.06,12.8,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,82.5,21.1,80.3,99.5,7.50,0.38,0.91,80.5,0.30,14.7,0.028,1.13,5.87,23.8,0.77,0.16,7.91,13.0,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,58.9,12.5,85.8,98.2,9.76,0.30,0.66,75.7,0.055,18.7,0.019,0.23,1.50,12.9,0.12,0.17,7.08,9.01,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,27.4,1.97,82.8,89.7,15.7,0,0.63,37.6,0.19,6.02,0.063,0.82,3.17,6.34,1.01,0.19,2.09,6.09,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,38.7,5.92,49.0,92.7,5.86,0.18,1.15,64.0,0.24,9.45,0.061,5.26,6.41,11.5,0.30,0.39,5.29,9.54,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,53.8,5.88,85.1,98.8,19.8,0.26,0.88,55.3,0.18,11.2,0,0.26,3.78,13.6,1.05,0.18,3.60,18.2,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,5.32,2.91,50.2,91.8,9.08,0.17,0.38,54.8,0.084,15.2,0.042,0.59,1.94,7.81,0.55,0.30,3.50,7.68,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,49.6,5.81,67.1,92.5,7.46,0.33,1.21,39.4,0.66,9.10,0,12.3,20.7,16.0,1.54,0.55,13.0,8.99,
