,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,37.4,2.88,74.6,55.4,1.80,1.37,6.74,48.0,0.84,4.87,0.012,20.4,19.0,3.08,0.050,0,10.9,6.75,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,29.5,2.27,84.1,65.9,7.27,0.45,3.64,35.9,1.82,30.0,0,48.2,19.1,3.64,2.27,0.45,8.18,15.5,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,34.0,5.25,53.0,60.5,2.97,0.68,16.0,42.9,2.28,8.22,0,46.3,28.1,2.28,0,0,6.62,32.0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,26.2,1.36,74.7,67.9,4.07,1.81,4.52,44.3,2.71,20.8,0,25.3,5.43,3.17,0.90,0,13.6,14.9,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,6.22,0,66.0,48.3,7.18,0.96,6.22,45.5,0.96,24.9,0,17.7,3.83,2.39,0.48,0,10.5,13.4,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,39.7,10.6,41.3,49.0,3.64,0.36,4.37,11.7,2.91,7.29,0,65.2,31.7,3.10,0.36,0.18,9.11,16.2,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,29.6,1.51,71.9,80.4,3.02,0.50,10.6,47.2,2.51,14.1,0,31.7,6.03,0.50,0.50,0,17.1,18.6,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,59.0,5.61,30.7,62.6,8.97,2.24,2.24,28.7,1.35,4.26,0.22,75.1,27.6,3.14,1.79,0,3.36,15.9,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,27.0,3.07,53.4,82.2,6.75,3.07,5.52,30.1,1.23,11.7,0,37.4,18.4,3.68,1.23,0,5.52,23.3,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,15.7,1.12,70.9,40.4,2.57,1.61,2.57,24.7,0.48,19.3,0,57.9,23.0,1.93,0.32,0,2.57,6.74,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,28.6,2.18,72.3,53.0,0.98,7.51,28.3,53.3,2.18,7.94,0,21.3,8.60,1.85,0.22,0,3.16,22.0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,22.6,1.50,78.9,69.9,4.14,0.38,4.51,44.0,2.26,17.7,0,12.4,4.51,1.88,0.38,0,8.27,18.4,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,10.0,0.42,72.0,76.2,4.60,4.60,5.86,44.8,2.93,22.2,0,22.2,7.95,2.09,0.42,0,15.9,16.3,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,26.9,6.29,47.8,47.0,2.94,3.08,6.99,19.7,2.52,10.5,0,48.5,26.2,3.22,1.26,0,7.97,10.5,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,23.0,0.59,76.6,64.7,3.03,2.19,13.2,36.8,2.52,14.0,0,27.6,6.56,1.26,0.084,0.34,16.4,11.4,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,31.8,2.99,41.3,62.6,5.98,2.24,3.36,19.4,1.50,5.61,0,56.1,21.1,2.80,1.50,0,2.43,11.8,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,51.2,7.20,72.0,92.8,2.40,8.00,4.80,36.8,6.40,15.2,0,29.6,16.8,5.60,0,0,2.40,36.8,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,24.6,1.28,89.5,58.5,4.97,1.60,3.07,50.8,1.41,37.2,0.012,36.1,20.2,4.35,0.58,0,7.00,6.27,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,31.9,5.23,59.5,40.2,3.58,1.06,13.7,47.0,3.35,9.90,0.011,51.9,29.6,5.78,0.27,5.36E-3,8.80,16.3,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,32.3,1.69,88.0,58.1,3.46,1.38,7.58,62.7,2.25,19.6,0,17.7,7.06,4.62,0.30,0,15.9,14.2,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,20.7,2.24,89.7,78.6,5.14,11.4,8.76,73.3,1.97,38.9,0.027,17.8,7.46,4.58,1.12,0,21.5,8.47,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,48.1,10.6,35.6,30.4,5.08,1.21,2.83,15.5,3.62,10.9,0.080,76.1,35.4,5.75,0.42,0,11.3,11.0,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,38.1,1.52,80.5,59.6,6.18,1.70,11.5,50.1,4.42,17.6,0,40.1,12.2,5.04,0.20,0.020,31.7,7.61,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,49.7,2.97,35.2,34.4,14.0,2.20,2.26,28.0,0.90,5.82,0.079,75.2,31.2,5.71,2.01,0,4.31,6.20,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,46.9,4.99,63.8,66.5,5.43,1.61,6.88,52.7,2.78,15.8,0.095,41.6,17.6,9.85,0.57,0.032,10.0,12.3,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,27.2,1.18,91.9,60.8,3.35,3.04,6.06,65.1,1.24,23.2,0.014,15.8,5.07,3.56,0.088,0.014,21.7,12.6,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,6.68,0.67,53.5,58.4,5.35,0.45,1.11,40.3,0.45,34.7,0.22,27.4,10.5,3.56,1.11,0.22,1.78,5.35,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,20.0,2.69,32.4,40.2,3.19,0.85,12.7,41.1,1.56,5.74,0,42.9,20.8,3.26,0.21,0,5.88,14.4,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,20.9,1.40,78.6,63.7,6.51,0.47,10.2,52.6,0.93,20.0,0,16.3,6.51,4.19,0,0,11.2,17.7,
