,"Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,98.9,3.01,18.3,0.019,10.2,0.33,0.37,0.18,20.5,19.0,1.03,1.40,99.9,0.095,0.048,0.029,4.15,3.22,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,99.5,6.09,30.7,12.2,32.5,2.48,0.45,1.58,30.0,19.0,1.81,1.35,99.8,1.13,0.68,0.45,0.68,8.58,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,98.8,3.51,29.3,5.60,18.1,1.98,0.11,0.33,29.6,13.5,0.11,0.99,99.8,0.44,0.55,0.44,0.44,4.61,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,96.8,3.83,16.6,7.02,17.0,1.66,0,0.26,25.9,13.9,1.79,1.28,99.9,0.64,0.38,0.13,0.51,4.21,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,89.6,3.85,14.3,1.65,15.9,0.55,0,0,15.4,22.5,0,3.30,98.4,0,0.55,0,0,6.04,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,98.5,1.74,19.8,4.04,25.3,0.74,0.097,0.42,22.4,13.4,1.03,1.87,100,0.32,0.13,0.19,0.68,3.78,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,97.0,5.42,22.0,15.8,14.2,0.61,0.10,0.20,24.1,16.3,1.43,1.33,99.9,0.41,0.20,0.31,0.10,6.65,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,97.5,3.25,12.6,6.14,21.7,1.44,0,0.72,25.3,14.8,0.36,0.36,99.6,0.36,0.36,0,0.36,4.33,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,93.4,5.56,29.8,27.8,19.2,0.51,0,1.52,31.8,15.2,3.54,1.52,99.0,1.01,0.51,0.51,1.01,13.6,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,95.5,2.98,23.8,2.36,17.4,4.53,0.12,0.43,36.3,8.26,0.19,2.30,99.8,0.37,0,0.12,0.19,1.80,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,87.7,6.39,31.9,0.44,11.2,12.3,0.88,0.22,27.5,13.0,0,0.66,100,0.22,0.22,0.22,0.88,1.54,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,94.7,2.66,16.9,2.85,16.1,2.38,0.047,0.19,24.5,9.49,0.70,1.07,99.7,0.61,0,0.23,0.047,2.48,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,88.4,5.05,13.1,11.1,11.1,5.56,0.51,0,16.2,15.7,0.51,0,97.0,1.01,1.01,0.51,0,4.04,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,92.9,1.26,18.5,1.59,16.0,2.08,0.16,0.13,28.2,8.33,0.19,1.17,100.0,0.33,0.095,0.13,0.28,1.92,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,94.3,3.74,22.7,5.07,14.9,5.65,0.17,0.38,25.6,10.8,0.43,1.28,99.9,0.23,0.087,0.20,0.55,3.13,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,92.6,1.61,14.6,4.21,16.8,10.8,0.12,0.12,32.5,7.43,0.37,0.74,99.8,0.37,0.12,0.25,0.50,1.73,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,100,13.2,43.2,41.6,26.3,6.84,0,0.53,38.4,7.37,5.26,1.58,100,0.53,0,0,4.21,15.8,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,98.3,4.16,39.3,0.021,35.8,1.34,0.27,0.73,33.0,17.8,0.50,2.59,99.9,0.90,0.38,0.42,2.68,4.26,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,99.2,4.27,43.8,0.070,23.0,1.31,0.39,0.56,37.9,18.9,0.63,3.14,99.9,0.63,0.52,0.35,3.61,3.24,
